ð ə; the
ˈ ʌ v; of
ə n d; and
ɪ n; in
t ˈ u; thuy to too tu tue two
w ˈ ɑ z; waas wah's was
ˈ ɪ z; is
f ˈ ɔ ɹ; faure for fore forr four
ˈ ɑ n; on
ˈ æ z; as
w ˈ ɪ ð; with
b ˈ aɪ; bae bi buy by bye
h ˈ i; he hee
ð ˈ æ t; that
ˈ æ t; at
f ɹ ˈ ʌ m; from frum
h ˈ ɪ z; his
ˈ ɪ t; it
ˈ æ n; ahn an ann anne
w ˈ ɝ; were
w ˈ ɪ tʃ; which wich witch
ˈ ɑ ɹ; ahr ar are r r.
ð ˈ ɪ s; this this'
ˈ ɔ l s oʊ; also
b ˈ i; b b. be bea bee
h ˈ æ d; had hadd
ˈ ɔ ɹ; oar ohr or ore orr
h ˈ æ z; has
f ˈ ɝ s t; first furst
ð ˈ ɛ ɹ; their there they're
ˈ æ f t ɝ; after
ˈ ɪ t s; it's its
w ˈ ʌ n; one won
n ˈ u; gnu knew new nu
b ˈ ʌ t; but butt
h ˈ u; hoo hou houx hu who
h ˈ ɝ; her hur
n ˈ ɑ t; knot knott not nott notte
ʃ ˈ i; she shi shieh shih sze xi
ð ˈ eɪ; they
h ˈ æ v; halve have
b ˈ ɪ n; been bihn bin binn
ˈ ʌ ð ɝ; other
w ˈ ɛ n; wen when
d ˈ ʊ ɹ ɪ ŋ; during
ˈ ɔ l; all aul aull
ˈ ɪ n t u; into
t ˈ aɪ m; time
m ˈ eɪ; mae may maye mei mey
m ˈ ɔ ɹ; mohr mor more morr
s k ˈ u l; school
j ˈ ɪ ɹ z; year's years years'
ˈ oʊ v ɝ; over
ˈ oʊ n l i; only
w ˈ ʊ d; wood would
l ˈ eɪ t ɝ; later
m ˈ oʊ s t; most
w ˈ ɛ ɹ; ware wear wehr werre where
b ɪ t w ˈ i n; between
s ˈ ʌ m; some sum
ˈ ʌ p; up upp
w ˈ ɝ l d; whirled world
s ˈ ɪ t i; citi city
n ˈ æ ʃ ə n ə l; national
ə b ˈ aʊ t; about
s ˈ ʌ tʃ; such sutch
h ˈ ɪ m; him hymn
ð ˈ ɛ n; then
m ˈ eɪ d; made maid mayde
ˈ aʊ t; out
s t ˈ eɪ t; state
θ ɹ ˈ i; three
w ˈ aɪ l; weil weill while wile wyle
j ˈ u z d; used
j ˌ u n ə v ˈ ɝ s ə t i; university
k ˈ æ n; caen cahn can cann kan kann kanne
j u n ˈ aɪ t ɪ d; united
ˈ ʌ n d ɝ; under
n ˈ oʊ n; known
s ˈ i z ə n; season
m ˈ ɛ n i; many
j ˈ ɪ ɹ; year
p ˈ ɑ ɹ t; part parte
b ɪ k ˈ eɪ m; became
b ˈ ɔ ɹ n; born borne bourn bourne
f ˈ ɪ l m; film
ð ˈ i z; thee's these
ð ˈ æ n; than
t ˈ i m; team teem
n ˈ oʊ; know nau neault no noe noh
s ˈ ɛ k ə n d; second
ˌ ɪ n k l ˈ u d ɪ ŋ; including
s t ˈ eɪ t s; state's states states'
b ˈ i ɪ ŋ; being
θ ɹ ˈ u; threw through thru
b ɪ f ˈ ɔ ɹ; before
b ˈ oʊ θ; both
ə m ˈ ɛ ɹ ə k ə n; american
s ˈ aʊ θ; south
ˈ ɝ l i; earley earlie early erly
w ˈ ɔ ɹ; war warr woehr wor wore
h ˈ ɪ s t ɝ i; history
ə g ˈ ɛ n s t; against
h ˌ aʊ ˈ ɛ v ɝ; however
f ˈ æ m ə l i; family
ə n t ˈ ɪ l; until
w ˈ ɛ l; well welle
s ˈ ɪ n s; since
ð ˈ ɛ m; them
w ˈ ɝ k; werk werke work
l ˈ aɪ f; life
f ˈ ɑ l oʊ ɪ ŋ; following
ˈ ɛ ɹ i ə; area erria
p ˈ i p ə l; people
s ˈ ɪ ɹ i z; ceres series series'
n ˈ ɔ ɹ θ; north
n ˈ eɪ m; name
k ɝ ˈ ɪ ɹ; career
ˈ æ l b ə m; album
m j ˈ u z ɪ k; music muzik
p l ˈ eɪ d; played
g ɹ ˈ u p; group groupe grupe
d ˈ ɪ s t ɹ ɪ k t; district
n ˈ ʌ m b ɝ; number
s ˈ ɛ v ɹ ə l; several
h ˈ aɪ; heye hi high hy
ɹ i l ˈ i s t; released
k ˈ aʊ n t i; county
d ˈ i; d d. de dea dee di
k ˈ ʌ m p ə n ˌ i; company
k ˈ ɔ l d; called
w ˈ ɪ l; wil will wille
l ˈ i g; league
h ˈ aʊ s; haus hause hauss house
g ˈ ʌ v ɝ m ə n t; goverment government
ˈ i tʃ; each
m ˈ ɑ ɹ tʃ; march
s ˈ eɪ m; same sejm
g ˈ eɪ m; game
ˌ ɪ n t ɝ n ˈ æ ʃ ə n ə l; internacional international internatonal
s ɛ p t ˈ ɛ m b ɝ; september
dʒ ˈ æ n j u ˌ ɛ ɹ i; january
k l ˈ ʌ b; club clubb
f ˈ aʊ n d; found
dʒ ˈ u n; joon june
ɑ k t ˈ oʊ b ɝ; october
b ɪ g ˈ æ n; began
l ˈ oʊ k ˌ eɪ t ə d; located
dʒ ˌ u l ˈ aɪ; july
s ˈ oʊ; sew so
w ˈ ɛ s t; west
j ˈ u s; use yous
ˈ ɑ g ə s t; august
n ˈ aʊ; gnau now
k ˈ ɑ l ɪ dʒ; colledge college
dʒ ˈ ɑ n; john jon jonn
s t ˈ eɪ ʃ ə n; station
p ˌ ɑ p j ə l ˈ eɪ ʃ ə n; population
ˈ eɪ p ɹ ə l; april
p ˈ ʌ b l ɪ k; public
h ˈ oʊ m; holm home
ˈ ɛ n d; end ende
n oʊ v ˈ ɛ m b ɝ; november
m ˈ ɛ m b ɝ; member
p l ˈ eɪ s; place
dʒ ˈ ɛ n ɝ ə l; general
t ˈ aʊ n; town towne
f ˈ ɔ ɹ m ɝ; former
d ɪ s ˈ ɛ m b ɝ; december
tʃ ˈ ɝ tʃ; church
ˈ ɪ f; if
ˈ eɪ dʒ; age
h ˈ ɛ l d; held
n ˈ eɪ m d; named
s ˈ ɪ s t ə m; system
b ɪ k ˈ ɔ z; because
j ˈ ɔ ɹ k; york yorke
t ˈ ʊ k; took tooke
d ˈ eɪ; dae day daye dey
ɹ ˈ ɪ v ɝ; river
ɝ ˈ aʊ n d; around
f ˈ ʊ t b ˌ ɔ l; football
b ɹ ˈ ɪ t ɪ ʃ; british
l ˈ aɪ n; line lyne lysne
ˈ i s t; east
l ˈ oʊ k ə l; local
ˈ ɛ n i; any
s ˈ ɔ ŋ; song
d ˈ u; deux dew do doo douwe du due
ə l ˈ ɔ ŋ; along
s ˈ ɝ v ə s; service
p ˈ ɑ ɹ t i; parti party
b ˈ ɛ s t; best beste
f ˈ ɛ b j ə w ˌ ɛ ɹ i; feb february
s ˈ ɝ v d; served
d ˈ ɪ d; did
b ˈ æ k; back backe bak bakke
ə n ˈ ʌ ð ɝ; another
b ˈ eɪ s t; based baste
k ˈ ʊ d; could
w ɪ ð ˈ ɪ n; within
ɹ ə s ˈ i v d; received
s ˈ ɛ n tʃ ɝ i; century
v ˈ ɪ l ə dʒ; village
b ˈ ɪ l t; bildt built
l ˈ aɪ k; like lyke
m ˈ ɛ m b ɝ z; member's members members'
b ˈ ɪ l d ɪ ŋ; building
m ˈ eɪ dʒ ɝ; majer major
f ˈ aɪ n ə l; final
ʃ ˈ oʊ; chau schau show
g ˈ eɪ m z; game's games games'
ˌ ɔ l ð ˈ oʊ; although
ˌ ɪ n k l ˈ u d; include
s p ˈ i ʃ i z; species species'
d ˈ ɛ θ; death
b ˈ æ n d; band banned
s m ˈ ɔ l; small
m ˈ eɪ n; main maine mane mayne meyn
l ˈ ɛ f t; left
p ɹ ˈ ɛ z ə d ˌ ɛ n t; president
s ˈ ɛ d; said
p ˈ ʌ b l ɪ ʃ t; published
d ˈ aɪ d; died dyed
l ˈ ɑ ɹ dʒ; large
l ˈ æ s t; last
f ˈ aɪ v; five
ˈ ɔ ɹ d ɝ; order
s t ɹ ˈ i t; st street streett
s ˈ ɪ ŋ g ə l; singel single
s ˈ ɛ t; set sette
θ ˈ ɝ d; third
ˈ oʊ n; oanh own
ð ˈ oʊ z; those
ˌ ɛ dʒ ə k ˈ eɪ ʃ ə n; education
ə k ˈ ɔ ɹ d ɪ ŋ; according
ˌ ɪ n k l ˈ u d ə d; included
l ˈ ɔ ŋ; long
v ˈ ɛ ɹ i; vary verri verry very
p ˈ ɑ ɹ k; parc park parke
s t ˈ ɪ l; stihl stil still stille
ɹ ˈ oʊ d; rhoad rhode road rode roed rohde rowed
ˈ ɑ ɹ m i; armey army
d ɪ v ˈ ɪ ʒ ə n; division divison
b ˈ ʊ k; book
d ɪ v ˈ ɛ l ə p m ə n t; development
ə m ˈ ʌ ŋ; among
l ˈ ɔ; law
ˈ ɔ f ə n; offen often
f ɹ ˈ ɛ n tʃ; french
m ˈ u v d; moved
t ˈ aɪ m z; time's times times'
w ˈ ʌ t; what
k ə m j ˈ u n ə t i; community
s ˈ ɛ n t ɹ ə l; central
l ˈ ɛ d; lead led
ˈ ɪ ŋ g l ɪ ʃ; english
ɝ ˈ ɪ dʒ ə n ə l; original
ˈ oʊ l d; old olde
s ˈ ʌ n; son sun
tʃ ˈ ɪ l d ɹ ə n; children
m ˈ ɪ l j ə n; million
d ˈ ɪ f ɝ ə n t; different
n ˈ ɪ ɹ; kneer near neer nir
dʒ ˈ ʌ s t; just
t ˈ ɑ p; top topp
l ˈ eɪ t; late leight
ə g ˈ ɛ n; again
w ˈ ɔ t ɝ; water
ˈ ɛ ɹ; aer air ayre ere err eyre heir
g ɹ ˈ eɪ t; grate great
s ˈ ɛ n t ɝ; center centerre centre senter
f ˈ ɔ ɹ m; form
m ˈ ʌ tʃ; much mutch mutsch
ɹ i s ˈ ɝ tʃ; research
s ˈ aɪ d; seid seide side sighed syed
ˈ ʌ s; us
ˈ ɑ ɹ t; art
k ˈ ɔ ɹ t; cort corte court ct kort korte
p l ˈ eɪ; play
d ˈ aʊ n; down downe
k ˈ ʌ n t ɹ i; country
ˈ ɔ f; off
ˈ i v ɪ n; even
k ˈ aʊ n s ə l; council counsel counsell
dʒ ˈ ɝ m ə n; german jerman
ɹ ə k ˈ ɔ ɹ d; record
p ˈ aʊ ɝ; power
ɪ s t ˈ æ b l ɪ ʃ t; established
l ˈ ʌ n d ə n; london lunden
l ˈ æ n d; land lande
k ˈ ʌ p; cup cupp
h ˈ æ v ɪ ŋ; halving having
t ˈ aɪ t ə l; teitel title
s t ˈ ɑ ɹ t ɪ d; started
s ə p ˈ ɔ ɹ t; support
p ə l ˈ ɪ t ə k ə l; political
s t ˈ u d ə n t s; student's students students'
ə w ˈ ɔ ɹ d; award
m ˈ ɪ l ə t ˌ ɛ ɹ i; military
p ˈ ɪ ɹ i ə d; period
k ˈ eɪ m; came kaim
w ˈ ɛ n t; wendt went wente
p ɹ ə d ˈ ʌ k ʃ ə n; production
w ˈ aɪ t; white whyte wight
w ˈ eɪ; way waye wei weigh wey whey wy
g ˈ ɪ v ə n; givan given
ˈ aɪ l ə n d; eiland island
m ˈ eɪ k; make
n ˈ ɛ k s t; next
ɹ ˈ oʊ l; roehl roell roelle rohl rol role roll rolle
t ˈ ɛ l ə v ˌ ɪ ʒ ə n; television
k ˈ ɪ ŋ; king qing
ɹ ˈ i dʒ ə n; region
w ˈ ɝ k s; work's works works'
t ˈ oʊ t ə l; total
tʃ ˈ æ m p i ə n ʃ ˌ ɪ p; championship
j ˈ u z ɪ ŋ; using
v ˈ ɛ ɹ i ə s; various
h ˈ ɛ d; head
ˈ ɔ f ɪ s; office
s ˈ ɪ k s; six
p l ˈ eɪ ɝ; player
b ɪ k ˈ ʌ m; become
f ˈ ɑ ð ɝ; father
l ˈ ɪ s t; list liszt
b ˈ ɪ z n ə s; business
w ˈ ɛ s t ɝ n; western
p ɹ ə d ˈ u s t; produced
d ɝ ˈ ɛ k t ɝ; derecktor director
m ˈ ɛ ɹ i d; married
p ɹ ˈ oʊ g ɹ ˌ æ m; program programme
ə s ˌ oʊ s i ˈ eɪ ʃ ə n; association
ˈ ɪ ŋ g l ə n d; england
f ˈ i l d; feild field
w ˈ ɝ k t; worked
ɪ l ˈ ɛ k ʃ ə n; election
b l ˈ æ k; black
d ɪ p ˈ ɑ ɹ t m ə n t; department
dʒ ˈ ɔɪ n d; joined
ə n ˈ aʊ n s t; announced
k ɹ i ˈ eɪ t ə d; created
p ˈ ɔɪ n t; point pointe
ɹ ɪ t ˈ ɝ n d; returned
p ɹ ə f ˈ ɛ ʃ ə n ə l; professional
j ˈ u n j ə n; union
ɹ ˈ ɪ t ə n; ryton written
f j ˈ u; few phew
j ˈ u; ewe u u. uwe yew yoo you yu yue
j ˈ ʌ ŋ; young yung
w ɪ θ ˈ aʊ t; without
t ˈ eɪ k; take
d ɪ s k ɹ ˈ aɪ b d; described
s ˈ aɪ t; cite sight site
ɹ ˈ ɔɪ ə l; royal royall
s ˈ ɝ v ə s ə z; services
ɹ ˈ eɪ d i ˌ oʊ; radio
t ə g ˈ ɛ ð ɝ; together
s ˈ oʊ ʃ ə l; social
f ˈ ɔ ɹ s; force forse
n ˈ ɔ ɹ ð ɝ n; northern
p ˈ ɝ; per pere pur purr
f ˈ aʊ n d ɪ d; founded
ˈ æ k t; act
ð ˈ oʊ; tho though
s ə s ˈ aɪ ə t i; society
ɹ ˈ oʊ t; roat rote wrote
f ˈ ɝ ð ɝ; further
w ˈ ɪ m ə n; women
d ˈ eɪ z; dais daise dase day's days days' daze
l ˈ ɔ s t; lost
k ə n t ˈ ɪ n j u d; continued
d ɪ z ˈ aɪ n; design
w ˈ ɪ l j ə m; william wm
ˈ ɛ v ɝ i; every
v ˈ ɝ ʒ ə n; version
p ɹ ˈ ɑ dʒ ɛ k t; project
s ˈ ʌ m ɝ; somer sommer summar summer
l ˈ aɪ v; live
m ˈ ɛ n; men menn menne
m ˈ æ n; mahn man mann manne
j ˌ ʊ ɹ ə p ˈ i ə n; european
w ˈ i; oui we wee wiehe wii
s ˈ ʌ ð ɝ n; southern
p ə z ˈ ɪ ʃ ə n; position
b ˈ ɔ ɹ d; board bored
ˈ ɪ n d i ə; india
f ɹ ˈ æ n s; france
ɹ ˈ aʊ n d; 'round round
ɹ ˈ eɪ l w ˌ eɪ; railway
ˈ oʊ p ə n; open
l ˈ ɛ v ə l; level
k ə n s ˈ ɪ d ɝ d; considered
k ə n t ɹ ˈ oʊ l; control
ˈ oʊ p ə n d; opened
ɹ ˈ ʌ n; run
ɔ s t ɹ ˈ eɪ l j ə; australia
ɹ ə k ˈ ɔ ɹ d ɪ d; recorded
ˌ ɪ m p ˈ ɔ ɹ t ə n t; important
s ˈ æ n; san
w ˈ ʌ n s; once
v ˈ ɪ d i oʊ; video
k ˌ æ l ə f ˈ ɔ ɹ n j ə; california
s p ˈ ɛ ʃ ə l; special
w ˈ ɪ n; win winn winne wynn wynne
