'cos; k ˈ ə z
'd; d
'd; ə d
'em; ə m
'll; l
'll; ə l
'm; ə m
're; ə
's; z
's; s
've; v
've; ə v
a's; ˈ eɪ z
a; ə
a; ˈ eɪ
aaron; ˈ ɛə ɹ ə n
aback; ə b ˈ æ k
abandon; ə b ˈ æ n d ə n
abandoned; ə b ˈ æ n d ə n d
abate; ə b ˈ eɪ t
abbey; ˈ æ b i
abbot; ˈ æ b ə t
abbreviate; ə b ɹ ˈ iː v ɪ ˌ eɪ t
abdominal; æ b d ˈ ɒ m ɪ n ə l
abel; ˈ eɪ b ə l
aberdeen; ˌ æ b ə d ˈ iː n
aberdeenshire; ˌ æ b ə d ˈ iː n ʃ ə
abet; ə b ˈ ɛ t
abhor; ə b h ˈ ɔː
abide; ə b ˈ aɪ d
abilities; ə b ˈ ɪ l ɪ t i z
ability; ə b ˈ ɪ l ɪ t i
abingdon; ˈ æ b ɪ ŋ d ə n
able; ˈ eɪ b ə l
ably; ˈ eɪ b l i
abnormal; æ b n ˈ ɔː m ə l
aboard; ə b ˈ ɔː d
abode; ə b ˈ əʊ d
abolish; ə b ˈ ɒ l ɪ ʃ
abolition; ˌ æ b ə l ˈ ɪ ʃ ə n
aboriginal; ˌ æ b ə ɹ ˈ ɪ d͡ʒ ɪ n ə l
abort; ə b ˈ ɔː t
abortion; ə b ˈ ɔː ʃ ə n
about; ə b ˈ aʊ t
above; ə b ˈ ʌ v
abraham; ˈ eɪ b ɹ ə h ˌ æ m
abroad; ə b ɹ ˈ ɔː d
abruptly; ə b ɹ ˈ ʌ p t l i
abs; ˈ æ b z
abscond; ə b s k ˈ ɒ n d
absence; ˈ æ b s ə n s
absent; ˈ æ b s ə n t
absolute; ˈ æ b s ə l ˌ uː t
absolutely; ˌ æ b s ə l ˈ uː t l i
absorb; ə b z ˈ ɔː b
absorbed; ə b z ˈ ɔː b d
absorption; ə b z ˈ ɔː p ʃ ə n
absorption; ə b s ˈ ɔː p ʃ ə n
abstinence; ˈ æ b s t ɪ n ə n s
abstract; æ b s t ɹ ˈ æ k t
abstract; ˈ æ b s t ɹ ˌ æ k t
abstracts; ə b s t ɹ ˈ æ k t s
