ð ə; the
ə v; of
ə n d; and
ɪ n; in
t ə; to
w ə z; was
ɪ z; is
f ə; for
ˈ ɒ n; on
ˈ æ z; as
w ɪ ð; with
b ˈ aɪ; bi buy by bye
h ˈ iː; he
ð ə t; that
ə t; at
f ɹ ˈ ɒ m; from
h ɪ z; his
ɪ t; it
ə n; an
w ˈ ɜː; were whir
w ˈ ɪ tʃ; which witch
ə; 're a are
ð ɪ s; this
ˈ ɔː l s əʊ; also
b ɪ; be
h ə d; had
ɔː; or
h ə z; has
f ˈ ɜː s t; first
ð ˈ ɛə; their there
ˈ ɑː f t ə; after
ɪ t s; its
w ˈ ʌ n; one won
n j ˈ uː; gnu knew new
b ˈ ʌ t; but butt
h ˈ uː; who
h ɜː; her
n ˈ ɒ t; knot not
ʃ ˈ iː; she
ð ˈ eɪ; they
h ə v; have
t ˈ uː; too two
b ɪ n; been
ˈ ʌ ð ə; other
w ˈ ɛ n; when
d j ˈ ʊə ɹ ɪ ŋ; during
ˈ ɔː l; all
ɪ n t ə; into
t ˈ aɪ m; time
m ˈ eɪ; mae may
m ˈ ɔː; moor moore more
s k ˈ uː l; school
j ˈ ɪə z; years
ˈ əʊ v ə; over
ˈ əʊ n l i; only
w ˈ ʊ d; wood would
l ˈ eɪ t ə; later
m ˈ əʊ s t; most
w ˈ ɛə; ware wear where
b ɪ t w ˈ iː n; between
s ˈ ʌ m; some sum
ˈ ʌ p; up
w ˈ ɜː l d; world
s ˈ ɪ t i; city
n ˈ æ ʃ n ə l; national
ə b ˈ aʊ t; about
s ˈ ʌ tʃ; such
ɪ m; him
ð ˈ ɛ n; then
m ˈ eɪ d; made maid
ˈ aʊ t; out
s t ˈ eɪ t; state
θ ɹ ˈ iː; three
w ˈ aɪ l; weil while
j ˈ uː z d; used
j ˌ uː n ɪ v ˈ ɜː s ɪ t i; university
k ə n; can
j uː n ˈ aɪ t ɪ d; united
ˈ ʌ n d ə; under
n ˈ əʊ n; known
s ˈ iː z ə n; season
m ˈ ɛ n i; many
j ˈ ɪə; year
p ˈ ɑː t; part
b ɪ k ˈ eɪ m; became
b ˈ ɔː n; born borne
f ˈ ɪ l m; film
ð ˈ iː z; these
ð ə n; than
t ˈ iː m; team teem
n ˈ əʊ; know no
s ˈ ɛ k ə n d; second
ɪ n k l ˈ uː d ɪ ŋ; including
s t ˈ eɪ t s; states
b ˈ iː ɪ ŋ; being
θ ɹ ˈ uː; threw through thru
b ɪ f ˈ ɔː; before
b ˈ əʊ θ; both
ə m ˈ ɛ ɹ ɪ k ə n; american
s ˈ aʊ θ; south
ˈ ɜː l i; early
w ˈ ɔː; war wore
h ˈ ɪ s t ɹ i; history
ə g ˈ ɛ n s t; against
h ˌ aʊ ˈ ɛ v ə; however
f ˈ æ m l i; family
ʌ n t ˈ ɪ l; until
w ˈ ɛ l; well
s ˈ ɪ n s; since
ð ə m; them
w ˈ ɜː k; work
l ˈ aɪ f; life
f ˈ ɒ l əʊ ɪ ŋ; following
ˈ ɛə ɹ ɪə; area
p ˈ iː p ə l; people
s ˈ ɪə ɹ iː z; series
n ˈ ɔː θ; north
n ˈ eɪ m; name
k ə ɹ ˈ ɪə; career
ˈ æ l b ə m; album
m j ˈ uː z ɪ k; music
p l ˈ eɪ d; plaid played
g ɹ ˈ uː p; group
d ˈ ɪ s t ɹ ɪ k t; district
n ˈ ʌ m b ə; number
s ˈ ɛ v ɹ ə l; several
h ˈ aɪ; hi high
ɹ ɪ l ˈ iː s t; released
k ˈ aʊ n t i; county
k ˈ ʌ m p ə n i; company
k ˈ ɔː l d; called
w ə l; will
l ˈ iː g; league
f ˈ ɔː; fore four
h ˈ aʊ s; house
g ˈ ʌ v ə m ə n t; government
ˈ iː tʃ; each
m ˈ ɑː tʃ; march
s ˈ eɪ m; same
g ˈ eɪ m; game
ˌ ɪ n t ə n ˈ æ ʃ ə n ə l; international
s ɛ p t ˈ ɛ m b ə; september
dʒ ˈ æ n j ʊə ɹ i; january
k l ˈ ʌ b; club
f ˈ aʊ n d; found
dʒ ˈ uː n; june
ɒ k t ˈ əʊ b ə; october
b ɪ g ˈ æ n; began
l ˈ əʊ k ˌ eɪ t ɪ d; located
dʒ ə l ˈ aɪ; july
s ˈ əʊ; sew so sow
w ˈ ɛ s t; west
j ˈ uː s; use
ˈ ɔː g ə s t; august
n ˈ aʊ; now
k ˈ ɒ l ɪ dʒ; college
dʒ ˈ ɒ n; john jon
s t ˈ eɪ ʃ ə n; station
p ˌ ɒ p j ʊ l ˈ eɪ ʃ ə n; population
ˈ eɪ p ɹ ə l; april
p ˈ ʌ b l ɪ k; public
h ˈ əʊ m; home
ˈ ɛ n d; end
n əʊ v ˈ ɛ m b ə; november
m ˈ ɛ m b ə; member
p l ˈ eɪ s; place
dʒ ˈ ɛ n ɹ ə l; general
t ˈ aʊ n; town
f ˈ ɔː m ə; former
d ɪ s ˈ ɛ m b ə; december
tʃ ˈ ɜː tʃ; church
ɪ f; if
ˈ eɪ dʒ; age
h ˈ ɛ l d; held
n ˈ eɪ m d; named
s ˈ ɪ s t ə m; system
b ɪ k ˈ ɒ z; because
j ˈ ɔː k; york
t ˈ ʊ k; took
d ˈ eɪ; day
ɹ ˈ ɪ v ə; river
ə ɹ ˈ aʊ n d; around
f ˈ ʊ t b ˌ ɔː l; football
b ɹ ˈ ɪ t ɪ ʃ; british
